Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2023-10-02,14:40:00,HAMILTON,Burj Malinka,6f,7,2.25,2.38,0.51449126
2023-10-02,14:40:00,HAMILTON,Giselles Izzy,6f,6,5.0,5.87,0.5055849
2023-10-02,14:40:00,HAMILTON,The Gay Blade,6f,2,7.0,8.64,0.21839632
2023-10-02,14:40:00,HAMILTON,Corinthia Knight,6f,3,7.5,8.22,0.120121956
2023-10-02,14:40:00,HAMILTON,Gentle Ellen,6f,1,11.0,13.5,0.17385109
2023-10-02,14:40:00,HAMILTON,Marks Choice,6f,4,13.0,16.51,0.1588534
2023-10-02,14:40:00,HAMILTON,Object,6f,5,21.0,34.0,0.03829713
2023-10-02,14:40:00,HAMILTON,Dodgy Bob,6f,8,41.0,62.88,0.01858999
2023-10-02,15:10:00,HAMILTON,Winged Messenger,5f,1,2.1,2.52,0.6853863
2023-10-02,15:10:00,HAMILTON,Ingleby Archie,5f,2,2.38,2.5,0.68356574
2023-10-02,15:10:00,HAMILTON,Star Mind,5f,5,6.0,5.7,0.33316085
2023-10-02,15:10:00,HAMILTON,Badosa,5f,4,34.0,40.1,0.017349614
2023-10-02,15:10:00,HAMILTON,La La Lucrative,5f,3,67.0,113.28,0.0402784
2023-10-02,15:40:00,HAMILTON,Anjo Bonita,1m½f,3,2.88,3.27,0.6584468
2023-10-02,15:40:00,HAMILTON,Classic Times,1m½f,4,3.75,4.14,0.16854064
2023-10-02,15:40:00,HAMILTON,Zarabanda,1m½f,1,3.75,3.71,0.4813436
2023-10-02,15:40:00,HAMILTON,Fiver Friday,1m½f,2,5.5,5.9,0.29897103
2023-10-02,15:40:00,HAMILTON,Sophiesticate,1m½f,5,29.0,35.79,0.0072913864
2023-10-02,16:10:00,HAMILTON,Botanical,1m1f,1,2.1,2.14,0.7955893
2023-10-02,16:10:00,HAMILTON,Mr Professor,1m1f,2,4.33,4.36,0.14438736
2023-10-02,16:10:00,HAMILTON,Baryshnikov,1m1f,3,6.0,8.46,0.14133474
2023-10-02,16:10:00,HAMILTON,Pisanello,1m1f,5,9.5,10.94,0.09897648
2023-10-02,16:10:00,HAMILTON,Cockalorum,1m1f,7,17.0,24.49,0.004935912
